# id,x,y,z,varphi1 [rad],phi [rad],varphi2 [rad],volume [um^3]
2.837000000000000000e+03,1.444958243796739161e+01,1.461042143254456427e+01,3.258494208470618503e+01,1.898907239999999996e+00,4.106369999999999743e-01,1.333880283000000055e+00,3.921962805912095007e+01
2.843000000000000000e+03,1.359082649839037060e+01,-1.694017002912033831e+01,2.773218816443464263e+01,9.401915449000000091e-01,5.888349999999999973e-01,2.370667210000000136e+00,7.887511685976716080e+01
2.845000000000000000e+03,-1.529087309695012564e+01,1.734780830833847887e+01,2.717625969468222991e+01,-2.245136699000000124e+00,9.028380000000000294e-01,-8.914811074999999807e-01,1.253477918858100253e+02
2.846000000000000000e+03,-1.362732936255169136e+01,6.567248574506342251e+00,3.573205988695686131e+01,5.213541565000000544e-01,9.181319999999999482e-01,2.553952143000000063e+00,2.437834650071766518e+01
2.848000000000000000e+03,-1.750596251842155482e+01,4.144695132119482928e+00,2.906688066718675856e+01,3.703450299000000112e-01,8.326480000000000548e-01,2.216303259000000025e+00,1.450131820324525336e+02
2.850000000000000000e+03,4.681929057772223679e+00,-2.889271115086585739e-01,3.022181440170686884e+01,7.276314302999999928e-01,8.599670000000000369e-01,2.565809880000000209e+00,1.987257736166365305e+02
2.855000000000000000e+03,-1.733084218636396301e+01,-7.346512090182827137e+00,2.915069025999724417e+01,2.247456526000000121e+00,6.482710000000000417e-01,9.587550376000000263e-01,4.040852298368713491e+01
2.859000000000000000e+03,-1.053589760968060851e+01,-8.147251795720448442e+00,3.296803212919964210e+01,-2.375819875999999997e+00,8.474819999999999576e-01,-6.565769536000000128e-01,7.918924246640438014e+01
2.861000000000000000e+03,9.608729693556405493e+00,6.818294675189754628e+00,3.355566560214811034e+01,-2.346601053999999853e-02,6.680129999999999679e-01,2.911944096000000037e+00,2.530441604584433790e+01
2.863000000000000000e+03,-8.302498511973929851e+00,1.522949436798487177e+01,3.157197722529055284e+01,-2.322935801999999939e+00,7.290739999999999998e-01,-6.799778979999999695e-01,2.249512952847077329e+01
2.866000000000000000e+03,-9.335213906557333630e-01,9.887344580482215761e+00,3.021246445777371292e+01,7.339297402000000137e-01,9.192700000000000315e-01,2.389516475000000195e+00,2.297388157622781080e+01
2.868000000000000000e+03,2.153030145450865263e+01,1.716811381404380299e+01,2.609808457179881458e+01,5.482803465000000154e-01,9.482960000000000278e-01,2.618920795999999829e+00,9.556560257297527983e+01
2.878000000000000000e+03,3.348702155615570497e+00,1.510775916996017365e+01,3.596060881278742727e+01,2.351326725999999923e+00,7.895980000000000221e-01,1.285889604000000075e+00,1.595019303535747923e+01
2.879000000000000000e+03,6.294340351741288586e+00,2.333227464724823896e+00,3.502542672949160618e+01,-9.159364825000000376e-01,9.704730000000000301e-01,-2.228479844999999848e+00,4.370519108120119967e+01
2.881000000000000000e+03,-6.760635239491808335e+00,-5.779601201684759104e+00,2.859078290596883676e+01,6.681226733999999778e-01,8.438769999999999882e-01,2.501618067999999973e+00,1.659845217692171460e+01
2.882000000000000000e+03,3.099865447313732592e+00,1.192536862020922861e+01,3.113170182213018577e+01,7.740352764000000274e-01,9.843220000000000303e-01,2.371408216999999929e+00,2.726678817907729169e+01
